"Position","Credit_Card_Name","Credit_Card_Link","Rewards","Intro_Offer","Annual_Fee","Credit_Score"
1,"Capital One SavorOne Cash Rewards Credit Card","https://thepointsguy.com/oc/221012282/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","REWARDS RATES
10%	Earn 10% cash back on purchases made through Uber & Uber Eats, plus complimentary Uber One membership statement credits through 11/14/2024
8%	Earn 8% cash back on Capital One Entertainment purchases
5%	Earn unlimited 5% cash back on hotels and rental cars booked through Capital One Travel, where you'll get Capital One's best prices on thousands of trip options. Terms apply
3%	Earn unlimited 3% cash back on dining, entertainment, popular streaming services and at grocery stores (excluding superstores like Walmart® and Target®).
1%	Earn 1% on all other purchases.","$200","$0","670-850"
2,"Capital One VentureOne Rewards Credit Card","https://thepointsguy.com/oc/22105773/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","REWARDS RATES
5X	Earn 5X miles on hotels and rental cars booked through Capital One Travel, where you'll get Capital One's best prices on thousands of trip options
1.25X	Earn unlimited 1.25X miles on every purchase, every day.","20,000 miles","$0","670-850"
3,"Blue Cash Preferred® Card from American Express","https://thepointsguy.com/oc/22036110/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","REWARDS RATES
6%	6% Cash Back at U.S. supermarkets on up to $6,000 per year in purchases (then 1%)
6%	6% Cash Back on select U.S. streaming subscriptions
3%	3% Cash Back on transit including taxis/rideshare, parking, tolls, trains, buses and more
3%	3% Cash Back at U.S. gas stations
1%	1% Cash Back on other purchases","$250","$0 intro annual fee for the first year, then $95.","670-850"
4,"Chase Freedom Unlimited®","https://thepointsguy.com/oc/221211280/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","REWARDS RATES
5%	Enjoy 5% cash back on travel purchased through Chase Ultimate Rewards®, our premier rewards program that lets you redeem rewards for cash back, travel, gift cards and more;
3%	3% cash back on drugstore purchases and dining at restaurants, including takeout and eligible delivery service
1.5%	1.5% on all other purchases","Earn an Additional 1.5% Cash Back","$0","670-850"
5,"Capital One Quicksilver Cash Rewards Credit Card","https://thepointsguy.com/oc/22100504/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","REWARDS RATES
5%	Earn unlimited 5% cash back on hotels and rental cars booked through Capital One Travel, where you'll get Capital One's best prices on thousands of trip options. Terms apply
1.5%	Earn unlimited 1.5% cash back on every purchase, every day","$200","$0","670-850"
6,"Chase Freedom Flex℠","https://thepointsguy.com/oc/7537/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","REWARDS RATES
5%	5% cash back on up to $1,500 in combined purchases in bonus categories each quarter you activate. Enjoy new 5% categories each quarter!
5%	5% cash back on travel purchased through Chase Ultimate Rewards®, our premier rewards program that lets you redeem rewards for cash back, travel, gift cards and more
3%	3% cash back on drugstore purchases and dining at restaurants, including takeout and eligible delivery service
1%	Unlimited 1% cash back on all other purchases.","$200","$0","670-850"
7,"Blue Cash Everyday® Card from American Express","https://thepointsguy.com/oc/22035733/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","REWARDS RATES
3%	3% Cash Back at U.S. supermarkets on up to $6,000 per year in purchases, then 1%.
3%	3% Cash Back on U.S. online retail purchases, on up to $6,000 per year, then 1%.
3%	3% Cash Back at U.S. gas stations, on up to $6,000 per year in purchases, then 1%.
1%	1% Cash Back on other purchases.","$200","$0","670-850"
8,"Wells Fargo Reflect® Card","https://thepointsguy.com/oc/7982/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","REWARDS RATES
no offer","no offer","$0","670-850"
9,,,,,,
